SOURCE MATERIAL,BINDER(Kg/m^3),FLY-ASH %,SLAG %,rest period hours,CURING TEMPERATURE,CURING PERIOD,NaOH/Na2SiO3,superplasticizer,extra water added,MOLARITY,ALKALINE ACTIVATOR /BINDER RATIO,COMPRESSIVE STRENGTH (MPa)
Class F Fly-Ash,400.0,1.0,0.0,0.0,70.0,48,0.4,0.0,35.0,14.0,0.5,50.46
Class F Fly-Ash,400.0,1.0,0.0,0.0,70.0,48,0.4,0.0,35.0,12.0,0.5,51.52
Class F Fly-Ash,394.3,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,8.0,0.4,33.22
Class F Fly-Ash,428.57,1.0,0.0,0.0,65.0,24,0.4,0.0,0.0,8.0,0.4,32.36
Class F Fly-Ash,428.57,1.0,0.0,0.0,65.0,24,0.4,0.0,0.0,12.0,0.4,37.25
Class F Fly-Ash,428.57,1.0,0.0,0.0,65.0,24,0.4,0.0,0.0,16.0,0.4,40.21
Class F Fly-Ash,500.0,1.0,0.0,0.0,40.0,24,0.83,0.0,0.0,8.0,0.44,24.8
Class F Fly-Ash,500.0,1.0,0.0,0.0,40.0,24,0.4,0.0,0.0,8.0,0.4,12.2
Class F Fly-Ash,500.0,1.0,0.0,0.0,40.0,24,2.5,0.0,0.0,8.0,0.4,7.0
Class F Fly-Ash,500.0,1.0,0.0,0.0,60.0,24,0.83,0.0,0.0,8.0,0.44,34.7
Class F Fly-Ash,500.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,8.0,0.4,17.0
Class F Fly-Ash,500.0,1.0,0.0,0.0,60.0,24,2.5,0.0,0.0,8.0,0.4,9.6
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,24,0.83,0.0,0.0,8.0,0.44,38.3
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,24,0.4,0.0,0.0,8.0,0.4,21.6
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,24,2.5,0.0,0.0,8.0,0.4,10.9
Class F Fly-Ash,500.0,1.0,0.0,0.0,100.0,24,0.83,0.0,0.0,8.0,0.44,41.8
Class F Fly-Ash,500.0,1.0,0.0,0.0,100.0,24,0.4,0.0,0.0,8.0,0.4,23.2
Class F Fly-Ash,500.0,1.0,0.0,0.0,100.0,24,2.5,0.0,0.0,8.0,0.4,11.5
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,4,0.83,0.0,0.0,8.0,0.44,22.2
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,4,0.4,0.0,0.0,8.0,0.4,14.6
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,4,2.5,0.0,0.0,8.0,0.4,8.1
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,8,0.83,0.0,0.0,8.0,0.44,31.9
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,8,0.4,0.0,0.0,8.0,0.4,19.6
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,8,2.5,0.0,0.0,8.0,0.4,10.6
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,12,0.83,0.0,0.0,8.0,0.44,37.5
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,12,0.4,0.0,0.0,8.0,0.4,23.8
Class F Fly-Ash,500.0,1.0,0.0,0.0,80.0,12,2.5,0.0,0.0,8.0,0.4,12.4
Class F Fly-Ash,400.0,1.0,0.0,96.0,60.0,24,0.47,5.99,0.0,8.0,0.38,39.9
Class F Fly-Ash,400.0,1.0,0.0,96.0,60.0,24,0.47,5.99,22.4,14.0,0.38,60.2
Class C Fly-Ash,414.0,1.0,0.0,0.0,60.0,24,1.0,0.0,0.0,10.0,0.5,46.67
Class C Fly-Ash,414.0,1.0,0.0,0.0,60.0,24,1.0,0.0,0.0,15.0,0.5,54.4
Class C Fly-Ash,414.0,1.0,0.0,0.0,60.0,24,1.0,0.0,0.0,20.0,0.5,43.2
Class C Fly-Ash,414.0,1.0,0.0,0.0,60.0,24,0.5,0.0,0.0,10.0,0.5,40.09
Class C Fly-Ash,414.0,1.0,0.0,0.0,60.0,24,0.5,0.0,0.0,15.0,0.5,48.18
Class C Fly-Ash,414.0,1.0,0.0,0.0,60.0,24,0.5,0.0,0.0,20.0,0.5,49.5
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,24,0.4,6.1,25.8,14.0,0.35,33.0
Class F Fly-Ash,444.0,1.0,0.0,0.0,60.0,24,0.4,6.1,25.8,14.0,0.35,49.0
Class F Fly-Ash,356.0,1.0,0.0,0.0,60.0,24,0.4,6.1,25.8,14.0,0.35,26.0
Class F Fly-Ash,424.0,1.0,0.0,0.0,60.0,24,0.4,6.1,25.8,14.0,0.3,36.0
Class F Fly-Ash,381.0,1.0,0.0,0.0,60.0,24,0.4,6.1,25.8,14.0,0.45,33.8
mix,400.0,0.9,0.1,0.0,25.0,48,0.4,0.0,0.0,14.0,0.4,40.0
mix,400.0,0.8,0.2,0.0,25.0,48,0.4,0.0,0.0,14.0,0.4,47.0
mix,400.0,0.9,0.1,0.0,25.0,48,0.67,0.0,0.0,14.0,0.4,43.0
mix,400.0,0.8,0.2,0.0,25.0,48,0.67,0.0,0.0,14.0,0.4,54.0
mix,400.0,1.0,0.0,0.0,25.0,48,0.4,6.0,0.0,14.0,0.35,25.0
mix,400.0,0.9,0.1,0.0,25.0,48,0.4,6.0,8.0,14.0,0.35,27.0
mix,400.0,0.8,0.2,0.0,25.0,48,0.4,6.0,8.0,14.0,0.35,35.0
mix,400.0,1.0,0.0,0.0,25.0,48,0.67,6.0,0.0,14.0,0.35,27.0
mix,400.0,0.9,0.1,0.0,25.0,48,0.67,6.0,8.0,14.0,0.35,27.0
mix,400.0,0.8,0.2,0.0,25.0,48,0.67,6.0,8.0,14.0,0.35,45.0
mix,400.0,0.9,0.1,0.0,20.0,48,0.5,4.0,0.0,10.0,0.4,19.0
mix,400.0,0.85,0.15,0.0,20.0,48,0.5,4.0,0.0,10.0,0.4,28.0
mix,400.0,0.8,0.2,0.0,20.0,48,0.5,4.0,0.0,10.0,0.4,37.5
mix,400.0,0.75,0.25,0.0,20.0,48,0.5,4.0,0.0,10.0,0.4,44.0
mix,400.0,0.7,0.3,0.0,20.0,48,0.5,4.0,0.0,10.0,0.4,61.0
mix,400.0,0.85,0.15,0.0,20.0,48,0.5,4.0,0.0,12.0,0.4,31.0
mix,400.0,0.8,0.2,0.0,20.0,48,0.5,4.0,0.0,12.0,0.4,43.5
mix,400.0,0.75,0.25,0.0,20.0,48,0.5,4.0,0.0,12.0,0.4,56.0
